Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202917,,,barcode202917_01.wa,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202917/PreservationMaster/barcode202917_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203067,,,barcode203067_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203067/PreservationMaster/barcode203067_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203069,,,barcode203069_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203069/PreservationMaster/barcode203069_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203068,,,barcode203068_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203068/PreservationMaster/barcode203068_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203061,,,barcode203061_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203061/PreservationMaster/barcode203061_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203062,,,barcode203062_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203062/PreservationMaster/barcode203062_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203066,,,barcode203066_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203066/PreservationMaster/barcode203066_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203063,,,barcode203063_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203063/PreservationMaster/barcode203063_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202907,,,barcode202907_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202907/PreservationMaster/barcode202907_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202912,,,barcode202912_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202912/PreservationMaster/barcode202912_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202910,,,barcode202910_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202910/PreservationMaster/barcode202910_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202909,,,barcode202909_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202909/PreservationMaster/barcode202909_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202913,,,barcode202913_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202913/PreservationMaster/barcode202913_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202897,,,barcode202897_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202897/PreservationMaster/barcode202897_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202899,,,barcode202899_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202899/PreservationMaster/barcode202899_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202898,,,barcode202898_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202898/PreservationMaster/barcode202898_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202900,,,barcode202900_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202900/PreservationMaster/barcode202900_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202901,,,barcode202901_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202901/PreservationMaster/barcode202901_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202902,,,barcode202902_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202902/PreservationMaster/barcode202902_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202903,,,barcode202903_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202903/PreservationMaster/barcode202903_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202904,,,barcode202904_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202904/PreservationMaster/barcode202904_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202905,,,barcode202905_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202905/PreservationMaster/barcode202905_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Hidden City (The),1989-10-03,,,,,,,,On Camera Interview about NYC water system,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,297729,,,barcode297729.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode297729/PreservationMaster/barcode297729.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Hidden City (The),1989-10-03,,,,,,,,B Roll NY harbor - tug boat moving boat - ships,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,297726,,,barcode297726.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode297726/PreservationMaster/barcode297726.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Hidden City (The),1989-10-03,,,,,,,,B Roll of a dam,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,297728,,,barcode297728.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode297728/PreservationMaster/barcode297728.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Macleish,2500-01-01,,,,,,,,"77-3044-00-00-002 Macleish 7""",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155561,,,barcode155561_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155561/PreservationMaster/barcode155561_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Sam Allen,2500-01-01,,,,,,,,"77-3029-00-00-001 Sam Allen 7""",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155551,,,barcode155551_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155551/PreservationMaster/barcode155551_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Herman Melville,2500-01-01,,,,,,,,"77-3047-00-00-001 Herman Melville 7"" Tim Sheldon",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155563,,,barcode155563_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155563/PreservationMaster/barcode155563_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Sylvia Plath,2500-01-01,,,,,,,,"77-3049-00-00-001 Sylvia Plath 7""",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155545,,,barcode155545_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155545/PreservationMaster/barcode155545_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Sylvia Plath,2500-01-01,,,,,,,,"77-5000-00-00-001 Sylvia Plath 7""",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155550,,,barcode155550_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155550/PreservationMaster/barcode155550_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Spider's Web,,Default Unit,,E.B. White: Charlotte's Web,1905-05-30,,,,,,,,"77-0124-00-26-002 Spider's Web Charlotte's Web #2 12/1977 Master 7"" reel 2 of 9",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155537,,,barcode155537_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155537/PreservationMaster/barcode155537_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Great Moments From NOVA (1993),1993-12-07,,,,,,,,523 Close/end montage,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229832,,,barcode229832.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode229832.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1996-12-31,,,,,,,,"Episode 1.
 Tony Kahn and Mary Ambrose host, Kimberly Dozier contributes. News focuses on events in the Middle East, South Africa's constitution, conflict in Bosnia, the sport of Freestyling.

 Episode 2.
 Tony Kahn and Eddie Mayor host. News focuses on conflict in Iraq, politics in Israel, and drive-in bingo in Ireland.",Radio program (Master),local,News Report,general,,,,,News Report,,,,,,"News and Current Events, Global Affairs, Peoples of the Middle East, Peoples of Eastern Europe, Peoples of Southern Africa, Peoples of Western Europe",,,,,,video recording identifier,102444,,,barcode102444_01.wav,,,https://avalon.wgbh.org/hls/avalon/barcode102444_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-03,,,,,,,,"11/3/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214900,,,barcode214900_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214900/PreservationMaster/barcode214900_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-04,,,,,,,,"11/4/1997
 AIR MASTER - 4 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214899,,,barcode214899_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214899/PreservationMaster/barcode214899_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-05,,,,,,,,"11/5/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214898,,,barcode214898_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214898/PreservationMaster/barcode214898_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-20,,,,,,,,"11/20/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214889,,,barcode214889_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214889/PreservationMaster/barcode214889_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-21,,,,,,,,"11/21/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214888,,,barcode214888_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214888/PreservationMaster/barcode214888_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-24,,,,,,,,"11/24/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214887,,,barcode214887_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214887/PreservationMaster/barcode214887_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-25,,,,,,,,"11/25/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214886,,,barcode214886_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214886/PreservationMaster/barcode214886_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-27,,,,,,,,"11/27/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214884,,,barcode214884_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214884/PreservationMaster/barcode214884_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-11-28,,,,,,,,"11/28/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214883,,,barcode214883_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214883/PreservationMaster/barcode214883_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-01,,,,,,,,"12/1/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214882,,,barcode214882_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214882/PreservationMaster/barcode214882_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-10,,,,,,,,"12/10/1997
 AIR MASTER - 6 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214875,,,barcode214875_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214875/PreservationMaster/barcode214875_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-12,,,,,,,,"12/12/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214874,,,barcode214874_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214874/PreservationMaster/barcode214874_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-15,,,,,,,,"12/15/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214873,,,barcode214873_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214873/PreservationMaster/barcode214873_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-16,,,,,,,,"12/16/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214872,,,barcode214872_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214872/PreservationMaster/barcode214872_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1997-12-17,,,,,,,,"12/17/1997
 AIR MASTER - 3 P.M.",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,214871,,,barcode214871_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214871/PreservationMaster/barcode214871_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Jimmy Carter - Ronald Reagan Debate, reel 2",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194111,,,barcode194111.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194111/PreservationMaster/barcode194111.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,DEF footage; Anderson headquarters with band; election night ?,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194113,,,barcode194113.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194113.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Signature Masters,2500-01-01,,,,,,,,"Horner, WGBH Signature Masters",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155799,,,barcode155799_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155799/PreservationMaster/barcode155799_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 3 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155729,,,barcode155729_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155729/PreservationMaster/barcode155729_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 5 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155731,,,barcode155731_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155731/PreservationMaster/barcode155731_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 6 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155732,,,barcode155732_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155732/PreservationMaster/barcode155732_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 7 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155733,,,barcode155733_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155733/PreservationMaster/barcode155733_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 8 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155734,,,barcode155734_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155734/PreservationMaster/barcode155734_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 9 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155735,,,barcode155735_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155735/PreservationMaster/barcode155735_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Master of Ballantine,1979-04-10,,,,,,,,13B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155962,,,barcode155962_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155962/PreservationMaster/barcode155962_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Master of Ballantine,1979-04-10,,,,,,,,Reel 15B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155968,,,barcode155968_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155968/PreservationMaster/barcode155968_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Big Energy Gamble (Energy),2009-01-20,,,,,,,,CA Governor Arnold Schwarzenegger interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,312658,,,,,,,,,,,,,,,,,,,,,,,,,,
